goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
,results.out
,sec/op,CI
StudentVersion/512x512x1000-1-8,5.5707545835,3%
StudentVersion/512x512x1000-2-8,4.1495933745,1%
StudentVersion/512x512x1000-3-8,3.7222739795000006,1%
StudentVersion/512x512x1000-4-8,3.632911854,2%
StudentVersion/512x512x1000-5-8,3.7048815625000007,2%
StudentVersion/512x512x1000-6-8,3.640721667,2%
StudentVersion/512x512x1000-7-8,3.6927414375000005,2%
StudentVersion/512x512x1000-8-8,3.7410058335,2%
StudentVersion/512x512x1000-9-8,3.763016104,1%
StudentVersion/512x512x1000-10-8,3.7881892290000003,2%
StudentVersion/512x512x1000-11-8,3.788502375,2%
StudentVersion/512x512x1000-12-8,3.823208854,2%
StudentVersion/512x512x1000-13-8,3.8999691465,4%
StudentVersion/512x512x1000-14-8,3.8258674995,2%
StudentVersion/512x512x1000-15-8,3.8422334370000004,2%
StudentVersion/512x512x1000-16-8,3.872338417,2%
geomean,3.8828966698293463
